"precio",titulo,,,imagen-src
"25,99€",Blazer doble botonadura bolsillos tapeta,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3678/325/700/3678325700_2_6_8.jpg?t=1702648821050&imwidth=375
"35,99€",Pantalón de vestir recto,,,https://static.pullandbear.net/2/photos//2023/I/0/1/b/7780/302/802/BS/BS/7780302802_6_1_8.jpg?t=1698653706199&imwidth=375
"22,99€",Blazer doble botonadura bolsillos tapeta,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/7780/302/802/7780302802_2_6_8.jpg?t=1692625811319&imwidth=375
"35,99€",Pantalón de vestir recto,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3676/304/802/3676304802_2_6_8.jpg?t=1692709455881&imwidth=375
"22,99€",Blazer raya diplomática,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/7780/302/800/7780302800_2_6_8.jpg?t=1692625811179&imwidth=375
"39,99€",Pantalón recto raya diplomática,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3676/304/800/3676304800_2_6_8.jpg?t=1692710421293&imwidth=375
"25,99€",Chaleco combinado raya diplomática,,,https://static.pullandbear.net/2/photos//2023/I/0/1/b/7780/303/400/BS/BS/7780303400_6_1_8.jpg?t=1693479133613&imwidth=375
"22,99€",Pantalón de vestir raya diplomática,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/7780/303/400/7780303400_2_6_8.jpg?t=1692885998989&imwidth=375
"25,99€",Blazer doble botonadura bolsillos tapeta,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/7676/373/400/7676373400_2_6_8.jpg?t=1705509741036&imwidth=375
"35,99€",Pantalón de vestir recto,,,https://static.pullandbear.net/2/photos//2024/V/0/1/b/3771/302/922/BS/BS/3771302922_6_1_8.jpg?t=1704986287980&imwidth=375
"22,99€",Chaleco cruzado asimétrico,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3771/302/922/3771302922_2_6_8.jpg?t=1702575476540&imwidth=375
"22,99€",Bermuda larga cintura ajustable,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3678/325/922/3678325922_2_6_8.jpg?t=1702980677802&imwidth=375
"22,99€",Blazer satinada jacquard,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/7780/302/700/7780302700_2_6_8.jpg?t=1690812433410&imwidth=375
"15,99€",Pantalón recto satinado jacquard,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3676/304/700/3676304700_2_6_8.jpg?t=1692790692759&imwidth=375
"9,99€",Minifalda raya diplomática,,,https://static.pullandbear.net/2/photos//2024/V/0/1/b/3771/300/922/BS/BS/3771300922_6_1_8.jpg?t=1704382387750&imwidth=375
"7,99€",Top bandeau tapetas,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3771/300/922/3771300922_2_6_8.jpg?t=1702309523749&imwidth=375
"3,99€",Pantalón de vestir botones cintura,,,https://static.pullandbear.net/2/photos//2024/V/0/1/p/3690/302/922/3690302922_2_6_8.jpg?t=1702375845206&imwidth=375
"9,99€",Chaleco halter lazo espalda,,,https://static.pullandbear.net/2/photos//2024/V/0/1/b/3781/303/800/BS/BS/3781303800_6_1_8.jpg?t=1702556704004&imwidth=375
"12,99€",Pantalón de vestir cinturón,,,https://static.pullandbear.net/2/photos//2023/I/0/1/p/3781/303/800/3781303800_2_6_8.jpg?t=1699551819224&imwidth=375
Trajes,https://www.pullandbear.com/es/mujer/ropa/trajes-n7305?celement=1030543598,filtros,https://www.pullandbear.com/es/mujer/ropa/trajes-n7305?celement=1030543598,
Blazers,https://www.pullandbear.com/es/mujer/ropa/cazadoras-y-chaquetas/blazers-y-americanas-n6558,filtros,https://www.pullandbear.com/es/mujer/ropa/cazadoras-y-chaquetas/blazers-y-americanas-n6558,
